"PER TESSERATI
(tutte le quote di questo foglio 
sono calcolate senza i €25,00 per Quota Tessera)",ISCRIZIONI FATTE:, SETTEMBRE - OTTOBRE (2025),, NOVEMBRE (2025),, DICEMBRE (2025),, GENNAIO (2026),, FEBBRAIO (2026),, MARZO (2026),, APRILE (2026),, MAGGIO (2026),, GIUGNO (2026),, LUGLIO (2025),,, SETTEMBRE - OTTOBRE (2025) Q1C,NOVEMBRE (2025) Q1C,DICEMBRE (2025) Q1C,GENNAIO (2026) Q1C,FEBBRAIO (2026) Q1C,MARZO (2026) Q1C,APRILE (2026) Q1C,MAGGIO (2026) Q1C,GIUGNO (2026) Q1C,LUGLIO (2025) Q1C,,
Descrizione Quote,Dettagli, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni,numero corsi a settimana," 1 corso
1 CORSO Bambini e Ragazzi,periodo Settembre -> Maggio," € 370,00 ",32," € 370,00 ",," € 270,00 ",," € 220,00 ",," € 170,00 ",," € 120,00 ",," € 70,00 ",," € 50,00 ",, € -   ,, € -   ,,1," € 370,00 "," € 370,00 "," € 270,00 "," € 220,00 "," € 170,00 "," € 120,00 "," € 70,00 "," € 50,00 ", € -   , € -   ," € 11,56 ",
2 CORSI Bambini e Ragazzi,"per lo stesso bambino o fratelli
370 + 370 = 740 sconto 100 €
periodo Settembre -> Maggio"," € 640,00 ",," € 640,00 ",," € 480,00 ",," € 400,00 ",," € 320,00 ",," € 240,00 ",," € 160,00 ",," € 80,00 ",, € -   ,, € -   ,,2," € 320,00 "," € 320,00 "," € 240,00 "," € 200,00 "," € 160,00 "," € 120,00 "," € 80,00 "," € 40,00 ", € -   , € -   , ,
3 CORSI Bambini e Ragazzi,"per lo stesso bambino o fratelli
370 x 3 = 1110 sconto 210 €
periodo Settembre -> Maggio"," € 900,00 ",," € 900,00 ",," € 660,00 ",," € 540,00 ",," € 420,00 ",," € 300,00 ",," € 180,00 ",," € 120,00 ",, € -   ,, € -   ,,3," € 300,00 "," € 300,00 "," € 220,00 "," € 180,00 "," € 140,00 "," € 100,00 "," € 60,00 "," € 40,00 ", € -   , € -   , ,
1 CORSO Bambini e Ragazzi AERIAL,periodo Settembre -> Maggio," € 390,00 ",," € 390,00 ",," € 300,00 ",," € 250,00 ",," € 200,00 ",," € 150,00 ",," € 100,00 ",," € 70,00 ",, € -   ,, € -   ,,1," € 390,00 "," € 390,00 "," € 300,00 "," € 250,00 "," € 200,00 "," € 150,00 "," € 100,00 "," € 70,00 ", € -   , € -   , ,
2 CORSI Bambini e Ragazzi AERIAL,"390 + 390 = 780 sconto 100 €
periodo Settembre -> Maggio  "," € 680,00 ",," € 680,00 ",," € 510,00 ",," € 430,00 ",," € 350,00 ",," € 270,00 ",," € 190,00 ",," € 110,00 ",, € -   ,, € -   ,,2," € 340,00 "," € 340,00 "," € 255,00 "," € 215,00 "," € 175,00 "," € 135,00 "," € 95,00 "," € 55,00 ", € -   , € -   , ,
3 CORSI Bambini e Ragazzi AERIAL,"390 x 3 = 1170 sconto 210 €
periodo Settembre -> Maggio"," € 960,00 ",," € 960,00 ",," € 720,00 ",," € 600,00 ",," € 480,00 ",," € 360,00 ",," € 240,00 ",," € 120,00 ",, € -   ,, € -   ,,3," € 320,00 "," € 320,00 "," € 240,00 "," € 200,00 "," € 160,00 "," € 120,00 "," € 80,00 "," € 40,00 ", € -   , € -   , ,
2 CORSI Bambini e Ragazzi Aerial + Ballo,"Aerial + Ballo 
390 + 370 = 760 sconto 100 €
periodo Settembre -> Maggio  "," € 660,00 ",," € 660,00 ",," € 580,00 ",," € 490,00 ",," € 410,00 ",," € 330,00 ",," € 250,00 ",," € 170,00 ",, € -   ,, € -   ,,2," € 330,00 "," € 330,00 "," € 290,00 "," € 245,00 "," € 205,00 "," € 165,00 "," € 125,00 "," € 85,00 ", € -   , € -   , ,
2 CORSI Bambini e Ragazzi Ballo + Aerial,"Ballo + Aerial
370 + 390 = 760 sconto 100 €"," € 660,00 ",," € 660,00 ",," € 580,00 ",," € 490,00 ",," € 410,00 ",," € 330,00 ",," € 250,00 ",," € 170,00 ",, € -   ,, € -   ,,2," € 330,00 "," € 330,00 "," € 290,00 "," € 245,00 "," € 205,00 "," € 165,00 "," € 125,00 "," € 85,00 ", € -   , € -   , ,
,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,
1 LEZIONE Prova,"periodo Settembre -> Giugno  (non sono ancora iscritto, faccio la lezione di prova, se mi iscrivo entro una settimana mi viene scalata. Se faccio 3 prove in 3 corsi diversi e mi iscrivo a 1 solo corso, mi verrà scalata solo la lezione che ho provato nel corso in cui mi iscrivo)"," € 20,00 ",," € 20,00 ",," € 20,00 ",," € 25,00 ",," € 25,00 ",," € 25,00 ",," € 25,00 ",," € 25,00 ",," € 25,00 ",," € 25,00 ",,1," € 20,00 "," € 20,00 "," € 20,00 "," € 25,00 "," € 25,00 "," € 25,00 "," € 25,00 "," € 25,00 "," € 25,00 "," € 25,00 ", ,
